retention_indicator,customers,lifetime_revenue,avg_ltv,avg_orders,avg_recency_days,customer_share_pct,revenue_share_pct
Active One-Time,13,57212.15,4400.934615384615,1.0,47.38461538461539,0.26005201040208037,0.09783218815336277
At Risk,1200,14418978.45,12015.815375,5.1033333333333335,131.32916666666668,24.00480096019204,24.656304870550798
Dormant,1452,13136673.4,9047.295730027548,3.825068870523416,315.95592286501375,29.045809161832363,22.46357642175789
No Purchase,38,0.0,,,,0.7601520304060811,0.0
Retained Repeat,2296,30867019.85,13443.823976480837,5.764372822299651,40.31141114982579,45.92918583716744,52.78228651953795
