derived_segment,customers,lifetime_revenue,avg_ltv,median_ltv,avg_orders,repeat_rate,avg_recency_days,high_risk_rate,high_value_customers,revenue_share_pct
Dormant,1490,13136673.4,9047.295730027548,6391.025,3.825068870523416,0.8731543624161073,315.95592286501375,0.974496644295302,227,22.46357642175789
Occasional,912,4324270.35,4741.524506578947,4460.8,3.199561403508772,0.9572368421052632,81.98464912280701,0.0,0,7.394457829450698
Premium,1224,27986603.85,22864.87242647059,20227.725,7.227124183006536,0.9983660130718954,63.2140522875817,0.0,939,47.856804780572425
Regular,1373,13032336.25,9491.86908230153,9173.9,5.541150764748726,1.0,71.82957028404952,0.0,75,22.28516096821899
